departamento,anio,siniestros_totales
LA LIBERTAD,2019,6297
LA LIBERTAD,2020,3344
LA LIBERTAD,2021,4367
LA LIBERTAD,2022,4450
LA LIBERTAD,2023,4150
LA LIBERTAD,2024,4091
LAMBAYEQUE,2008,597
LAMBAYEQUE,2009,909
LAMBAYEQUE,2010,1513
LAMBAYEQUE,2011,2141
LAMBAYEQUE,2012,2927
LAMBAYEQUE,2013,3175
LAMBAYEQUE,2014,3342
LAMBAYEQUE,2015,2340
LAMBAYEQUE,2016,2804
LAMBAYEQUE,2017,3188
LAMBAYEQUE,2018,3176
LAMBAYEQUE,2019,3830
LAMBAYEQUE,2020,2263
LAMBAYEQUE,2021,2542
LAMBAYEQUE,2022,3137
LAMBAYEQUE,2023,2968
LAMBAYEQUE,2024,3524
LIMA,2008,52684
LIMA,2009,52916
LIMA,2010,50520
LIMA,2011,49877
LIMA,2012,52581
LIMA,2013,54362
LIMA,2014,53924
LIMA,2015,53305
LIMA,2016,49304
LIMA,2017,49208
LIMA,2018,49336
LIMA,2019,49832
LIMA,2020,29185
LIMA,2021,35848
LIMA,2022,41111
LIMA,2023,44995
LIMA,2024,43786
LORETO,2008,1081
LORETO,2009,1092
LORETO,2010,1078
LORETO,2011,820
LORETO,2012,469
LORETO,2013,265
LORETO,2014,410
LORETO,2015,394
LORETO,2016,359
LORETO,2017,442
LORETO,2018,279
LORETO,2019,335
LORETO,2020,211
LORETO,2021,174
LORETO,2022,166
LORETO,2023,232
LORETO,2024,307
MADRE DE DIOS,2008,112
MADRE DE DIOS,2009,76
MADRE DE DIOS,2010,59
MADRE DE DIOS,2011,80
MADRE DE DIOS,2012,148
MADRE DE DIOS,2013,479
MADRE DE DIOS,2014,510
MADRE DE DIOS,2015,488
MADRE DE DIOS,2016,608
MADRE DE DIOS,2017,657
MADRE DE DIOS,2018,434
MADRE DE DIOS,2019,511
MADRE DE DIOS,2020,419
MADRE DE DIOS,2021,633
MADRE DE DIOS,2022,742
MADRE DE DIOS,2023,462
MADRE DE DIOS,2024,404
MOQUEGUA,2008,554
MOQUEGUA,2009,654
MOQUEGUA,2010,656
MOQUEGUA,2011,762
MOQUEGUA,2012,761
MOQUEGUA,2013,844
MOQUEGUA,2014,665
MOQUEGUA,2015,573
MOQUEGUA,2016,559
MOQUEGUA,2017,583
MOQUEGUA,2018,509
MOQUEGUA,2019,534
MOQUEGUA,2020,310
