departamento,anio,franja_horaria,siniestros
AREQUIPA,2018,00:01 A 02:00,251
AREQUIPA,2018,02:01 A 04:00,269
AREQUIPA,2018,04:01 A 06:00,376
AREQUIPA,2018,06:01 A 08:00,507
AREQUIPA,2018,08:01 A 10:00,545
AREQUIPA,2018,10:01 A 12:00,436
AREQUIPA,2018,12:01 A 14:00,437
AREQUIPA,2018,14:01 A 16:00,524
AREQUIPA,2018,16:01 A 18:00,472
AREQUIPA,2018,18:01 A 20:00,539
AREQUIPA,2018,20:01 A 22:00,406
AREQUIPA,2018,22:01 A 24:00,339
AREQUIPA,2019,00:01 A 02:00,172
AREQUIPA,2019,02:01 A 04:00,233
AREQUIPA,2019,04:01 A 06:00,270
AREQUIPA,2019,06:01 A 08:00,465
AREQUIPA,2019,08:01 A 10:00,627
AREQUIPA,2019,10:01 A 12:00,544
AREQUIPA,2019,12:01 A 14:00,492
AREQUIPA,2019,14:01 A 16:00,508
AREQUIPA,2019,16:01 A 18:00,514
AREQUIPA,2019,18:01 A 20:00,522
AREQUIPA,2019,20:01 A 22:00,460
AREQUIPA,2019,22:01 A 24:00,335
AREQUIPA,2020,00:01 A 02:00,86
AREQUIPA,2020,02:01 A 04:00,88
AREQUIPA,2020,04:01 A 06:00,171
AREQUIPA,2020,06:01 A 08:00,224
AREQUIPA,2020,08:01 A 10:00,345
AREQUIPA,2020,10:01 A 12:00,312
AREQUIPA,2020,12:01 A 14:00,279
AREQUIPA,2020,14:01 A 16:00,297
AREQUIPA,2020,16:01 A 18:00,351
AREQUIPA,2020,18:01 A 20:00,368
AREQUIPA,2020,20:01 A 22:00,300
AREQUIPA,2020,22:01 A 24:00,189
AREQUIPA,2021,00:01 A 02:00,112
AREQUIPA,2021,02:01 A 04:00,137
AREQUIPA,2021,04:01 A 06:00,287
AREQUIPA,2021,06:01 A 08:00,394
AREQUIPA,2021,08:01 A 10:00,481
AREQUIPA,2021,10:01 A 12:00,480
AREQUIPA,2021,12:01 A 14:00,462
AREQUIPA,2021,14:01 A 16:00,524
AREQUIPA,2021,16:01 A 18:00,546
AREQUIPA,2021,18:01 A 20:00,584
AREQUIPA,2021,20:01 A 22:00,418
AREQUIPA,2021,22:01 A 24:00,176
AREQUIPA,2022,00:01 A 02:00,190
AREQUIPA,2022,02:01 A 04:00,278
AREQUIPA,2022,04:01 A 06:00,322
AREQUIPA,2022,06:01 A 08:00,483
AREQUIPA,2022,08:01 A 10:00,562
AREQUIPA,2022,10:01 A 12:00,484
AREQUIPA,2022,12:01 A 14:00,501
AREQUIPA,2022,14:01 A 16:00,518
AREQUIPA,2022,16:01 A 18:00,494
AREQUIPA,2022,18:01 A 20:00,489
AREQUIPA,2022,20:01 A 22:00,450
AREQUIPA,2022,22:01 A 24:00,246
AREQUIPA,2023,00:01 A 02:00,211
AREQUIPA,2023,02:01 A 04:00,314
AREQUIPA,2023,04:01 A 06:00,331
AREQUIPA,2023,06:01 A 08:00,486
AREQUIPA,2023,08:01 A 10:00,469
AREQUIPA,2023,10:01 A 12:00,494
AREQUIPA,2023,12:01 A 14:00,509
AREQUIPA,2023,14:01 A 16:00,484
AREQUIPA,2023,16:01 A 18:00,498
AREQUIPA,2023,18:01 A 20:00,468
AREQUIPA,2023,20:01 A 22:00,616
AREQUIPA,2023,22:01 A 24:00,314
AREQUIPA,2024,00:01 A 02:00,224
AREQUIPA,2024,02:01 A 04:00,267
AREQUIPA,2024,04:01 A 06:00,363
AREQUIPA,2024,06:01 A 08:00,559
AREQUIPA,2024,08:01 A 10:00,606
AREQUIPA,2024,10:01 A 12:00,467
AREQUIPA,2024,12:01 A 14:00,508
AREQUIPA,2024,14:01 A 16:00,579
AREQUIPA,2024,16:01 A 18:00,606
AREQUIPA,2024,18:01 A 20:00,583
AREQUIPA,2024,20:01 A 22:00,535
AREQUIPA,2024,22:01 A 24:00,307
AYACUCHO,2008,08:00 A 14:00,128
AYACUCHO,2008,14:00 A 20:00,218
AYACUCHO,2008,20:00 A 02:00,159
AYACUCHO,2008,02:00 A 08:00,108
AYACUCHO,2009,08:00 A 14:00,182
AYACUCHO,2009,14:00 A 20:00,263
AYACUCHO,2009,20:00 A 02:00,204
AYACUCHO,2009,02:00 A 08:00,103
AYACUCHO,2010,08:00 A 14:00,487
AYACUCHO,2010,14:00 A 20:00,544
AYACUCHO,2010,20:00 A 02:00,294
AYACUCHO,2010,02:00 A 08:00,155
AYACUCHO,2011,08:00 A 14:00,244
AYACUCHO,2011,14:00 A 20:00,340
AYACUCHO,2011,20:00 A 02:00,253
AYACUCHO,2011,02:00 A 08:00,169
AYACUCHO,2012,08:00 A 14:00,267
AYACUCHO,2012,14:00 A 20:00,318
AYACUCHO,2012,20:00 A 02:00,220
AYACUCHO,2012,02:00 A 08:00,105
AYACUCHO,2013,08:00 A 14:00,303
AYACUCHO,2013,14:00 A 20:00,305
AYACUCHO,2013,20:00 A 02:00,301
AYACUCHO,2013,02:00 A 08:00,151
AYACUCHO,2014,08:00 A 14:00,319
AYACUCHO,2014,14:00 A 20:00,351
AYACUCHO,2014,20:00 A 02:00,223
AYACUCHO,2014,02:00 A 08:00,208
AYACUCHO,2015,00:01 A 02:00,52
