departamento,anio,sexo,grupo_etario,fallecidos
AMAZONAS,2015,FEMENINO,DE 26 A 60 AÑOS,2
AMAZONAS,2015,FEMENINO,DE 60 A MÁS AÑOS,1
AMAZONAS,2016,MASCULINO,DE 0 A 5 AÑOS,1
AMAZONAS,2016,MASCULINO,DE 6 A 12 AÑOS,0
AMAZONAS,2016,MASCULINO,DE 13 A 18 AÑOS,2
AMAZONAS,2016,MASCULINO,DE 19 A 25 AÑOS,10
AMAZONAS,2016,MASCULINO,DE 26 A 60 AÑOS,14
AMAZONAS,2016,MASCULINO,DE 60 A MÁS AÑOS,2
AMAZONAS,2016,FEMENINO,DE 0 A 5 AÑOS,0
AMAZONAS,2016,FEMENINO,DE 6 A 12 AÑOS,1
AMAZONAS,2016,FEMENINO,DE 13 A 18 AÑOS,0
AMAZONAS,2016,FEMENINO,DE 19 A 25 AÑOS,0
AMAZONAS,2016,FEMENINO,DE 26 A 60 AÑOS,2
AMAZONAS,2016,FEMENINO,DE 60 A MÁS AÑOS,1
AMAZONAS,2017,MASCULINO,DE 0 A 5 AÑOS,3
AMAZONAS,2017,MASCULINO,DE 6 A 12 AÑOS,0
AMAZONAS,2017,MASCULINO,DE 13 A 18 AÑOS,3
AMAZONAS,2017,MASCULINO,DE 19 A 25 AÑOS,9
AMAZONAS,2017,MASCULINO,DE 26 A 60 AÑOS,17
AMAZONAS,2017,MASCULINO,DE 60 A MÁS AÑOS,0
AMAZONAS,2017,FEMENINO,DE 0 A 5 AÑOS,1
AMAZONAS,2017,FEMENINO,DE 6 A 12 AÑOS,0
AMAZONAS,2017,FEMENINO,DE 13 A 18 AÑOS,0
AMAZONAS,2017,FEMENINO,DE 19 A 25 AÑOS,4
AMAZONAS,2017,FEMENINO,DE 26 A 60 AÑOS,6
AMAZONAS,2017,FEMENINO,DE 60 A MÁS AÑOS,1
AMAZONAS,2018,MASCULINO,DE 0 A 5 AÑOS,1
AMAZONAS,2018,MASCULINO,DE 6 A 11 AÑOS,0
AMAZONAS,2018,MASCULINO,DE 12 A 17 AÑOS,8
AMAZONAS,2018,MASCULINO,DE 18 A 29 AÑOS,23
AMAZONAS,2018,MASCULINO,DE 30 A 59 AÑOS,5
AMAZONAS,2018,MASCULINO,DE 60 A MÁS AÑOS,2
AMAZONAS,2018,FEMENINO,DE 0 A 5 AÑOS,3
AMAZONAS,2018,FEMENINO,DE 6 A 11 AÑOS,0
AMAZONAS,2018,FEMENINO,DE 12 A 17 AÑOS,0
AMAZONAS,2018,FEMENINO,DE 18 A 29 AÑOS,0
AMAZONAS,2018,FEMENINO,DE 30 A 59 AÑOS,1
AMAZONAS,2018,FEMENINO,DE 60 A MÁS AÑOS,0
AMAZONAS,2019,MASCULINO,DE 0 A 5 AÑOS,0
AMAZONAS,2019,MASCULINO,DE 6 A 11 AÑOS,1
AMAZONAS,2019,MASCULINO,DE 12 A 17 AÑOS,1
AMAZONAS,2019,MASCULINO,DE 18 A 29 AÑOS,8
AMAZONAS,2019,MASCULINO,DE 30 A 59 AÑOS,12
AMAZONAS,2019,MASCULINO,DE 60 A MÁS AÑOS,4
AMAZONAS,2019,FEMENINO,DE 0 A 5 AÑOS,0
AMAZONAS,2019,FEMENINO,DE 6 A 11 AÑOS,0
AMAZONAS,2019,FEMENINO,DE 12 A 17 AÑOS,0
AMAZONAS,2019,FEMENINO,DE 18 A 29 AÑOS,2
AMAZONAS,2019,FEMENINO,DE 30 A 59 AÑOS,3
AMAZONAS,2019,FEMENINO,DE 60 A MÁS AÑOS,1
AMAZONAS,2020,MASCULINO,DE 0 A 5 AÑOS,0
AMAZONAS,2020,MASCULINO,DE 6 A 11 AÑOS,0
AMAZONAS,2020,MASCULINO,DE 12 A 17 AÑOS,0
AMAZONAS,2020,MASCULINO,DE 18 A 29 AÑOS,22
AMAZONAS,2020,MASCULINO,DE 30 A 59 AÑOS,6
AMAZONAS,2020,MASCULINO,DE 60 A MÁS AÑOS,2
AMAZONAS,2020,FEMENINO,DE 0 A 5 AÑOS,0
AMAZONAS,2020,FEMENINO,DE 6 A 11 AÑOS,0
AMAZONAS,2020,FEMENINO,DE 12 A 17 AÑOS,0
AMAZONAS,2020,FEMENINO,DE 18 A 29 AÑOS,0
AMAZONAS,2020,FEMENINO,DE 30 A 59 AÑOS,4
AMAZONAS,2020,FEMENINO,DE 60 A MÁS AÑOS,2
AMAZONAS,2021,MASCULINO,DE 0 A 5 AÑOS,2
AMAZONAS,2021,MASCULINO,DE 6 A 11 AÑOS,1
AMAZONAS,2021,MASCULINO,DE 12 A 17 AÑOS,2
AMAZONAS,2021,MASCULINO,DE 18 A 29 AÑOS,12
AMAZONAS,2021,MASCULINO,DE 30 A 59 AÑOS,13
AMAZONAS,2021,MASCULINO,DE 60 A MÁS AÑOS,4
AMAZONAS,2021,FEMENINO,DE 0 A 5 AÑOS,0
AMAZONAS,2021,FEMENINO,DE 6 A 11 AÑOS,0
AMAZONAS,2021,FEMENINO,DE 12 A 17 AÑOS,0
AMAZONAS,2021,FEMENINO,DE 18 A 29 AÑOS,1
AMAZONAS,2021,FEMENINO,DE 30 A 59 AÑOS,2
AMAZONAS,2021,FEMENINO,DE 60 A MÁS AÑOS,0
AMAZONAS,2022,MASCULINO,DE 0 A 5 AÑOS,2
AMAZONAS,2022,MASCULINO,DE 6 A 11 AÑOS,0
AMAZONAS,2022,MASCULINO,DE 12 A 17 AÑOS,1
AMAZONAS,2022,MASCULINO,DE 18 A 29 AÑOS,16
AMAZONAS,2022,MASCULINO,DE 30 A 59 AÑOS,9
AMAZONAS,2022,MASCULINO,DE 60 A MÁS AÑOS,5
AMAZONAS,2022,FEMENINO,DE 0 A 5 AÑOS,0
AMAZONAS,2022,FEMENINO,DE 6 A 11 AÑOS,1
AMAZONAS,2022,FEMENINO,DE 12 A 17 AÑOS,0
